18.2556,-8.88934,0.00247192,16.7097,-15.4286,0.00247192
16.6577,-15.4197,0.00247192,4.25268,-14.3183,-0.00143433
4.45206,-14.406,0.00247192,-7.83476,-11.9855,0.00247192
-12.6432,-11.1181,-0.00534058,-15.3343,-13.2512,0.00253296
-14.9172,-19.9872,0.00247192,-16.5028,-25.0097,-0.00143433
-16.6139,-24.9503,-0.00143433,-22.7609,-24.0214,-0.00143433
-22.8462,-24.0472,0.0144043,-25.7322,-18.4628,-0.00143433
6.28467,-0.32408,-0.00143433,5.1319,-4.80712,-0.00143433
5.6185,8.68555,-0.00137329,-1.91484,9.43104,-0.00137329
-1.92599,9.45924,-0.00134277,-10.3713,10.1172,-0.00143433
6.35146,-0.21265,-0.00143433,6.53885,2.52426,-0.00143433
-10.5326,10.109,0.00247192,-11.1921,6.09257,0.00640869
